features,feature_importances,iteration
diff_len_title,0.6334952439583398,0
day,0.6400859558024856,1
Type_Free,0.6436490588491265,2
sequence_21,0.6435967609429084,3
sequence_22,0.6429915181307622,4
sequence_19,0.6443273263547274,5
count_type_size,0.644381507906106,6
sequence_20,0.6424316586195363,7
min_cat_size,0.6440916974600689,8
min_cat_price,0.6462858056730992,9
weekday_name_Sunday,0.6450171437505501,10
Price,0.6488767989140692,11
Category_LIFESTYLE,0.6467906432376112,12
Category_HOUSE_AND_HOME,0.6469549253966416,13
Category_FAMILY,0.6473275238710954,14
count_cat_price,0.6475446564350558,15
mean_cat_size,0.6469985108136866,16
sequence_17,0.6458320905603623,17
Type_Paid,0.647262142976565,18
50_type_size,0.6470888452403069,19
Category_BUSINESS,0.6475326790226098,20
mean_type_price,0.6483183411973644,21
Category_BOOKS_AND_REFERENCE,0.648054186431091,22
Category_MAPS_AND_NAVIGATION,0.6451344312733625,23
sequence_23,0.6493279363058113,24
sequence_3,0.6478016049289906,25
Category_TRAVEL_AND_LOCAL,0.6474689921114172,26
std_type_size,0.6483221773702799,27
Category_COMICS,0.6476645602475832,28
Category_MEDICAL,0.6492671794740983,29
weekday_name_Friday,0.6509568110539108,30
Category_FINANCE,0.6487486333246321,31
sequence_18,0.6479707428733205,32
Category_LIBRARIES_AND_DEMO,0.6479391901510906,33
Category_PRODUCTIVITY,0.6469638105217741,34
count_of_app_title,0.6483098166717876,35
Category_BEAUTY,0.6485280612167572,36
Category_PERSONALIZATION,0.6484837017995423,37
mean_rating_size,0.6470440122201792,38
len_of_cleantext_title,0.6458319257566895,39
sequence_26,0.6496393343335465,40
sequence_16,0.6511316260388734,41
Category_FOOD_AND_DRINK,0.6501917115517037,42
25_cat_price,0.6509414572002936,43
Category_ART_AND_DESIGN,0.650518179725923,44
Category_VIDEO_PLAYERS,0.6493022770924598,45
max_cat_price,0.6515255892264243,46
Category_SHOPPING,0.6513648085172516,47
mean_type_size,0.6504663377974826,48
sequence_15,0.6531706737038887,49
Content Rating,0.6510059173349899,50
Category_ENTERTAINMENT,0.6518502721358339,51
Category_PARENTING,0.6507676052294635,52
weekday_name_Tuesday,0.6500872970064346,53
Category_SOCIAL,0.6493983119905821,54
weekday_name_Monday,0.6506471078656136,55
Category_SPORTS,0.6506099597410153,56
Category_DATING,0.6499659859198591,57
50_cat_size,0.6510299020668455,58
min_rating_price,0.6518956810165598,59
Category_EDUCATION,0.652800388125947,60
25_rating_price,0.6527575106024425,61
Category_NEWS_AND_MAGAZINES,0.6517957141734437,62
Category_WEATHER,0.6546468687928584,63
Category_PHOTOGRAPHY,0.6542815647017941,64
sequence_12,0.6519613460129902,65
price_for_mb,0.6525573622833309,66
min_type_size,0.6518426946691922,67
Category_TOOLS,0.6526633402772775,68
sequence_14,0.6528561259293105,69
50_rating_price,0.6549380972325284,70
Category_GAME,0.6533492148387199,71
weekday_name_Saturday,0.6534498741205013,72
25_rating_size,0.6529943113066327,73
sequence_6,0.6526397716426476,74
sequence_13,0.6541076793880364,75
Category_AUTO_AND_VEHICLES,0.6500028551834724,76
sequence_10,0.6525836084284176,77
max_rating_size,0.6509642068466861,78
75_type_size,0.6531241316745604,79
max_type_size,0.6509498006050383,80
Category_EVENTS,0.6504279687635832,81
25_type_size,0.6517827463086416,82
std_rating_size,0.6533074844129535,83
std_type_price,0.6514082802566336,84
min_rating_size,0.6524116751730741,85
50_cat_price,0.6526493260638258,86
Category_COMMUNICATION,0.6540464491476622,87
count_rating_price,0.65319283979157,88
count_type_price,0.6526513875276984,89
mean_rating_price,0.6526501431898061,90
sequence_0,0.6534236664611739,91
Category_HEALTH_AND_FITNESS,0.6515367238564366,92
count_rating_size,0.6509450765238316,93
sequence_1,0.6503046558658274,94
sequence_2,0.6509111736707581,95
75_cat_price,0.6504867463197909,96
max_rating_price,0.6506991123774872,97
sequence_4,0.6518552241879996,98
min_type_price,0.6524391812847768,99
weekday_name_Thursday,0.6485905316642608,100
75_cat_size,0.6471112479750057,101
weekday_name_Wednesday,0.6472015954017579,102
std_cat_price,0.6466479326817467,103
sequence_25,0.6481332149482897,104
25_type_price,0.6513153337626836,105
sequence_5,0.6497356088331054,106
50_rating_size,0.6480222264393897,107
sequence_11,0.6499806572654627,108
sequence_7,0.6499272470174936,109
75_rating_size,0.6492069759562105,110
sequence_8,0.6483976460503802,111
std_rating_price,0.6501344490874787,112
50_type_price,0.6480881013790563,113
std_cat_size,0.6476624966524893,114
75_rating_price,0.6455847260541329,115
75_type_price,0.6441184795223437,116
25_cat_size,0.6443906983107651,117
sequence_9,0.6450611176150829,118
len_of_app_title,0.6417836838665475,119
count_of_cleantext_title,0.6306127729432895,120
max_cat_size,0.6345391698662723,121
sequence_24,0.6389910904169165,122
mean_cat_price,0.6358436965361599,123
count_cat_size,0.6380997666913101,124
diff_count_title,0.6392546381769172,125
max_type_price,0.6216609504704746,126
