features,feature_importances,iteration
sequence_22,0.676682495998757,0
sequence_23,0.6774894250125116,1
sequence_18,0.6783479915177749,2
sequence_26,0.6790579186502551,3
Category_BUSINESS,0.6795763422324846,4
Category_DATING,0.6797079648557216,5
max_cat_size,0.6812098244282163,6
Category_FAMILY,0.6819875154968338,7
Category_GAME,0.6841629940068576,8
25_cat_size,0.6850191398649307,9
Category_HEALTH_AND_FITNESS,0.685355479253172,10
diff_len_title,0.6855803428267159,11
sequence_16,0.6857903653727148,12
sequence_0,0.6857903653727148,13
Content Rating,0.6857903653727148,14
sequence_1,0.6857903653727148,15
sequence_2,0.6857903653727148,16
sequence_3,0.6857903653727148,17
sequence_4,0.6857903653727148,18
sequence_5,0.6857903653727148,19
sequence_6,0.6857903653727148,20
sequence_8,0.6857903653727148,21
Category_LIBRARIES_AND_DEMO,0.685805793715355,22
Category_TRAVEL_AND_LOCAL,0.6860853451620922,23
Category_SOCIAL,0.6866795102088729,24
75_cat_size,0.6871435716871865,25
price_for_mb,0.6875368340884775,26
count_of_app_title,0.687972350174021,27
sequence_7,0.6880854270930192,28
sequence_9,0.6880854270930192,29
sequence_10,0.6881823932897476,30
count_cat_size,0.6881823932897476,31
50_type_size,0.6882947296179749,32
min_cat_price,0.6882947296179749,33
25_cat_price,0.6882947296179749,34
50_cat_price,0.6882947296179749,35
75_cat_price,0.6881823932897476,36
75_type_size,0.6882947296179749,37
min_rating_price,0.6882947296179749,38
max_type_size,0.6882947296179749,39
count_type_size,0.6881823932897476,40
mean_type_size,0.6881823932897476,41
std_type_size,0.6881823932897476,42
std_cat_price,0.6881823932897476,43
Category_MEDICAL,0.6882167980834009,44
weekday_name_Saturday,0.6882322970143957,45
max_cat_price,0.688249267357112,46
min_type_size,0.688249267357112,47
25_type_size,0.688249267357112,48
mean_type_price,0.688249267357112,49
count_type_price,0.688249267357112,50
std_type_price,0.688249267357112,51
min_type_price,0.688249267357112,52
25_type_price,0.688249267357112,53
50_type_price,0.688249267357112,54
count_rating_size,0.688249267357112,55
mean_rating_size,0.688249267357112,56
75_type_price,0.688249267357112,57
std_rating_size,0.688249267357112,58
min_rating_size,0.688249267357112,59
50_rating_size,0.688249267357112,60
25_rating_size,0.688249267357112,61
max_type_price,0.688249267357112,62
75_rating_size,0.688249267357112,63
max_rating_size,0.688249267357112,64
25_rating_price,0.688249267357112,65
mean_rating_price,0.688249267357112,66
sequence_14,0.6881361353607498,67
count_rating_price,0.6881361353607498,68
50_rating_price,0.6881361353607498,69
75_rating_price,0.6881361353607498,70
Type_Free,0.6881361353607498,71
sequence_15,0.6880066928008973,72
Category_EVENTS,0.6879090045939529,73
Category_ENTERTAINMENT,0.6877966060900728,74
Price,0.6875035129455189,75
Category_ART_AND_DESIGN,0.6874074106930437,76
Category_SPORTS,0.6880219406294178,77
sequence_13,0.6877481060495401,78
len_of_app_title,0.6878761837714036,79
count_cat_price,0.6880384492813892,80
Category_HOUSE_AND_HOME,0.6885040411388106,81
mean_cat_size,0.6889561116644871,82
50_cat_size,0.68961714569181,83
sequence_11,0.689908468110393,84
sequence_12,0.6900213671691046,85
Category_AUTO_AND_VEHICLES,0.6898718987564902,86
max_rating_price,0.6893622750464631,87
sequence_17,0.6888598999736774,88
weekday_name_Friday,0.6888457815649409,89
Category_COMICS,0.6884932719990463,90
weekday_name_Wednesday,0.6885091954269098,91
weekday_name_Tuesday,0.6888305487003927,92
Category_MAPS_AND_NAVIGATION,0.688393349115327,93
sequence_21,0.6874231027631884,94
sequence_20,0.6876638231242991,95
weekday_name_Sunday,0.6880343360412022,96
sequence_19,0.6875809266132091,97
Category_FOOD_AND_DRINK,0.6880004839011704,98
Category_BEAUTY,0.6879175544658209,99
Category_PARENTING,0.6878941003417605,100
sequence_24,0.6869618690202274,101
day,0.6868098580049649,102
Category_SHOPPING,0.6861454991189744,103
weekday_name_Monday,0.6851261202720705,104
min_cat_size,0.6851978102908567,105
Category_VIDEO_PLAYERS,0.6853003215091273,106
Category_BOOKS_AND_REFERENCE,0.6853628768850886,107
Category_NEWS_AND_MAGAZINES,0.6848443085270534,108
Category_PERSONALIZATION,0.6839078233013369,109
weekday_name_Thursday,0.68364602668966,110
sequence_25,0.682695433354831,111
Category_COMMUNICATION,0.6823990806143377,112
Category_PRODUCTIVITY,0.6806964076098149,113
Category_EDUCATION,0.6789673709952452,114
Category_TOOLS,0.6758433026185021,115
std_rating_price,0.6732681511325216,116
Category_WEATHER,0.6705529587020014,117
diff_count_title,0.6679540131713892,118
Category_PHOTOGRAPHY,0.6662977904778057,119
std_cat_size,0.6592508766674263,120
Category_FINANCE,0.6580471149520389,121
Category_LIFESTYLE,0.6560782686579077,122
mean_cat_price,0.6500238850817737,123
Type_Paid,0.6285817726171761,124
count_of_cleantext_title,0.610036715291209,125
Size,0.5756628977722925,126
