features,feature_importances,iteration
day,0.6800731598176969,0
diff_len_title,0.6820926634870141,1
25_type_size,0.6864833328143067,2
sequence_16,0.6858884082143647,3
25_cat_size,0.6844728839033803,4
Category_NEWS_AND_MAGAZINES,0.6855140994693649,5
sequence_14,0.6865902788828557,6
weekday_name_Saturday,0.6848759951458889,7
count_type_size,0.6829198003285625,8
sequence_22,0.6845402692255789,9
Category_SOCIAL,0.685057331063883,10
Category_WEATHER,0.6849068135162739,11
Category_GAME,0.6849511097929782,12
Category_COMICS,0.6851068294869224,13
Category_COMMUNICATION,0.6847600041774176,14
Type_Paid,0.6853152293181608,15
Category_SHOPPING,0.6861728349380577,16
std_type_size,0.6857785654320812,17
Content Rating,0.685765876671754,18
mean_rating_size,0.686049909668558,19
weekday_name_Sunday,0.6867763675166818,20
max_rating_price,0.6855357553348279,21
count_type_price,0.6861231481651696,22
Category_PHOTOGRAPHY,0.6875224857472021,23
75_cat_size,0.6864967034169497,24
sequence_26,0.6858704354311463,25
Category_ENTERTAINMENT,0.6851368727951354,26
Category_BEAUTY,0.6844616006674432,27
weekday_name_Monday,0.6838124245020794,28
sequence_19,0.6865381208694262,29
Category_LIFESTYLE,0.6867764263189616,30
50_type_size,0.6868733824718276,31
mean_type_price,0.6863156982262991,32
sequence_21,0.6872620287092365,33
std_cat_price,0.6868657541608773,34
Price,0.6843794686960171,35
Category_ART_AND_DESIGN,0.6848981910600551,36
count_of_app_title,0.6879379096535888,37
weekday_name_Wednesday,0.6874822947663168,38
Category_LIBRARIES_AND_DEMO,0.6866255108444036,39
50_cat_size,0.6878177648749763,40
75_type_size,0.6878069531560946,41
Category_AUTO_AND_VEHICLES,0.6880616653460324,42
std_rating_size,0.687607570868259,43
price_for_mb,0.6887989561960964,44
Category_BUSINESS,0.6864226757042687,45
Category_SPORTS,0.6901269825178867,46
count_rating_price,0.6881337125212744,47
Category_FINANCE,0.6889787239240138,48
sequence_17,0.6881814475874657,49
sequence_23,0.6880426219280992,50
Category_FAMILY,0.6873763145195063,51
diff_count_title,0.6877971258656956,52
sequence_20,0.6886395870723123,53
max_rating_size,0.6903348908721492,54
mean_type_size,0.6868588715490307,55
len_of_app_title,0.6905625629900508,56
Category_PERSONALIZATION,0.6920624786955213,57
sequence_0,0.6907258492028768,58
count_of_cleantext_title,0.6929844085112045,59
max_type_size,0.6929666382963295,60
max_cat_size,0.6918219890388201,61
weekday_name_Friday,0.6899298138558971,62
Category_PRODUCTIVITY,0.6948188756768542,63
mean_cat_size,0.6896607438265077,64
weekday_name_Thursday,0.6899190219914861,65
sequence_15,0.6913124472937043,66
Type_Free,0.6919092859555142,67
Category_DATING,0.689458624952393,68
Category_BOOKS_AND_REFERENCE,0.6916313683580912,69
Category_MEDICAL,0.6904808150233553,70
Category_TRAVEL_AND_LOCAL,0.6896534807473804,71
min_type_size,0.6891815538078538,72
count_rating_size,0.6891076291701745,73
mean_rating_price,0.6900661721051816,74
std_type_price,0.6914955540775825,75
sequence_12,0.6899008968882161,76
Category_TOOLS,0.6920709196165924,77
Category_EVENTS,0.6933245282734651,78
sequence_13,0.690979761769194,79
weekday_name_Tuesday,0.6920009188529663,80
mean_cat_price,0.6920210750556942,81
max_cat_price,0.6906475477049199,82
Category_PARENTING,0.689235902919597,83
sequence_11,0.6899456711165617,84
sequence_3,0.6909345075374973,85
sequence_1,0.690891116837856,86
Category_HOUSE_AND_HOME,0.689831450144205,87
sequence_10,0.6942738042513596,88
Category_MAPS_AND_NAVIGATION,0.6937617889362261,89
sequence_24,0.6930009869076049,90
sequence_6,0.6942273543305075,91
25_rating_size,0.6919105638444708,92
min_cat_price,0.6918181138239511,93
Category_HEALTH_AND_FITNESS,0.6950788299058415,94
Category_VIDEO_PLAYERS,0.6934700356797601,95
std_cat_size,0.6927813488708504,96
count_cat_size,0.693219965901623,97
Category_FOOD_AND_DRINK,0.6927577100063798,98
50_rating_size,0.6937365823506012,99
sequence_7,0.6947503305556842,100
sequence_18,0.6934367720817106,101
min_rating_size,0.6928972659718815,102
75_rating_size,0.6948504378643547,103
Category_EDUCATION,0.6945543842158819,104
25_cat_price,0.6953072912971591,105
50_cat_price,0.6971360286456362,106
min_rating_price,0.6962877028001262,107
sequence_4,0.6949179064023553,108
75_cat_price,0.6964189726974933,109
min_type_price,0.695541417639543,110
25_rating_price,0.6956528364041494,111
sequence_5,0.694732317839596,112
50_rating_price,0.6979974538957244,113
25_type_price,0.6958616045203961,114
50_type_price,0.693373582432008,115
sequence_2,0.697710364752388,116
75_type_price,0.6951751685120532,117
sequence_8,0.6959144064858003,118
75_rating_price,0.695430416114837,119
sequence_9,0.6958085903902831,120
std_rating_price,0.6939359330475355,121
count_cat_price,0.6900039239315976,122
sequence_25,0.678476416279879,123
len_of_cleantext_title,0.6688856722426809,124
max_type_price,0.6528935921151501,125
min_cat_size,0.6267677897091934,126
